namespaceUri.href;namespaceUri.text;index;url
"http://stats.lod2.eu/vocabularies/3448;"http://stat.apr.gov.rs/lod2/";"107";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/238;"http://www.obofoundry.org/ro/ro.owl";"108";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/331;"http://purl.org/vocab/relationship/";"109";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/5890;"http://www.benecomunepaliano.it/tool-admin/cms/";"110";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/266;"http://www.metalex.eu/metalex/2008-05-02";"111";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/232;"http://aims.fao.org/aos/geopolitical.owl";"112";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/296;"http://www.georss.org/georss/";"113";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/322;"http://courseware.rkbexplorer.com/ontologies/courseware";"114";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/125;"http://vivoweb.org/ontology/core";"115";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/412;"http://id.loc.gov/vocabulary/relators/";"116";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/443;"http://purl.org/vocabularies/cornetto/";"117";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/464;"http://rdvocab.info/RDARelationshipsWEMI/";"118";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/564;"http://lod.taxonconcept.org/ontology/txn.owl";"119";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/123;"http://vitro.mannlib.cornell.edu/ns/vitro/0.7";"120";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/404;"http://www.ebi.ac.uk/efo/swo/";"121";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/730;"http://purl.org/rss/1.0/modules/taxonomy/";"122";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/510;"http://a9.com/-/spec/opensearch/1.1/";"123";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/430;"http://purl.org/net/opmv/types/sparql";"124";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/434;"http://purl.org/ontology/mo/";"125";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/428;"http://purl.org/net/opmv/types/common";"126";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/44;"http://www.w3.org/2000/10/swap/pim/contact";"127";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/184;"http://www.systemone.at/2006/03/wikipedia";"128";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/781;"http://data.kingcounty.gov/resource/f29f-zza5/";"129";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/161;"http://eunis.eea.europa.eu/rdf/species-schema.rdf";"130";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/359;"http://greek-lod.math.auth.gr/fire-brigade/resource/";"131";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/121;"http://www.fer.hr/projekt";"132";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/650;"http://data.linkedopendata.it/istat/resource/";"133";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/3412;"http://purl.org/weso/nomenclator/ontology/";"134";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/5843;"http://data.lirmm.fr/ontologies/food";"135";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/152;"http://def.bibsys.no/xmlns/radatana/1.0";"136";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/415;"http://data.lod2.eu/gfmf/";"137";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/414;"http://rs.tdwg.org/dwc/terms/";"138";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/679;"http://publicspending.medialab.ntua.gr/ontology";"139";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/648;"http://www.rdfabout.com/rdf/schema/ussec/";"140";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/701;"http://purl.org/linked-data/sdmx/2009/concept";"141";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/88;"http://www.nlm.nih.gov/mesh/2006";"142";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/4425;"http://dati.inail.it/opendata/elements/ExpahMeteo";"143";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/646;"http://mlode.nlp2rdf.org/resource/jrc-names/";"144";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/373;"http://www.monnet-project.eu/lemon";"145";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/72;"http://linkedscotland.org/def/geography";"146";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/176;"http://purl.org/net7/vocab/scuole/v1";"147";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/294;"http://id.southampton.ac.uk/stats-ns/";"148";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/120;"http://www.ravendesk.org/univ-ont";"149";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/474;"http://www.w3.org/ns/legal";"150";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/349;"http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf";"151";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/4920;"http://data.wa.gov/resource/_8wih-9h9v/";"152";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/270;"http://purl.org/net/unis/iris";"153";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/345;"http://era.rkbexplorer.com/id/";"154";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/410;"http://vocab.resc.info/communication";"155";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/591;"http://www.europeana.eu/schemas/edm/";"156";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/746;"http://www.opengis.net/ont/geosparql";"157";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/174;"http://www.semwebtech.org/mondial/10/meta";"158";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/1764;"http://data.illinois.gov/resource/_7k5j-9h8p/";"159";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/395;"http://www.eionet.europa.eu/gemet/gemet-skoscore.rdf";"160";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/3405;"http://crashmap.okfn.gr/vocabs/roadAccidentsVocab";"161";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/1680;"http://data.illinois.gov/resource/_7827-xvsm/";"162";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/357;"http://greek-lod.math.auth.gr/police/resource/";"163";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/1687;"http://data.illinois.gov/resource/ih65-qpq8/";"164";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/140;"http://publishmydata.com/def/statistics";"165";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5776;"http://data.cdc.gov/resource/edtz-vibe/";"166";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/151;"http://www.kanzaki.com/ns/whois";"167";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/119;"http://purl.org/vocab/aiiso/schema";"168";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/350;"http://www.rkbexplorer.com/ontologies/jisc";"169";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/2019;"http://data.maryland.gov/resource/datasets/";"170";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/2410;"http://data.wa.gov/resource/irc2-87d5/";"171";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5327;"http://www.dati.lombardia.it/resource/k2xm-fcgg/";"172";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/329;"http://erlangen-crm.org/120111/";"173";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5432;"http://www.dati.lombardia.it/resource/_3bhy-6cpn/";"174";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/1766;"http://data.illinois.gov/resource/_9gzm-cv4e/";"175";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5410;"http://www.dati.friuliveneziagiulia.it/resource/fiiw-i5su/";"176";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5569;"http://www.dati.lombardia.it/resource/q563-n2qm/";"177";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5319;"http://data.illinois.gov/resource/ifaa-ww6b/";"178";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5280;"http://data.illinois.gov/resource/nfi2-2aih/";"179";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/4433;"http://dati.inail.it/opendata/elements/SediINAILCompetenza";"180";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/540;"http://spatial.ucd.ie/lod/osn/property/";"181";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/1765;"http://data.illinois.gov/resource/ijcg-6u92/";"182";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5750;"http://data.cityofchicago.org/resource/_9xs2-f89t/";"183";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/1681;"http://data.illinois.gov/resource/ji29-psjv/";"184";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5787;"http://data.sfgov.org/resource/mjr8-p6m5/";"185";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/736;"http://data.nytimes.com/elements/";"186";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5759;"http://data.sfgov.org/resource/v94x-pf9r/";"187";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5315;"http://data.wa.gov/resource/q57g-ay7d/";"188";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/3162;"http://data.cityofnewyork.us/resource/nyis-y4yr/";"189";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5763;"http://data.cityofnewyork.us/resource/dvzp-h4k9/";"190";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/2793;"http://data.cityofnewyork.us/resource/irhv-jqz7/";"191";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/1547;"http://data.sfgov.org/resource/ckai-dve4/";"192";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/2397;"http://data.illinois.gov/resource/_4n29-iu8g/";"193";"http://stats.lod2.eu/vocabularies?page=4"
"http://stats.lod2.eu/vocabularies/5471;"http://www.dati.lombardia.it/resource/ajmv-pmdp/";"194";"http://stats.lod2.eu/vocabularies?page=4"
