date	nbVocabs
2012-08-30	279
2012-08-31	280
2012-09-01	280
2012-09-02	280
2012-09-03	280
2012-09-04	281
2012-09-05	284
2012-09-06	284
2012-09-07	284
2012-09-08	284
2012-09-09	284
2012-09-10	284
2012-09-11	287
2012-09-12	287
2012-09-13	287
2012-09-14	287
2012-09-15	287
2012-09-16	287
2012-09-17	287
2012-09-18	287
2012-09-19	289
2012-09-20	289
2012-09-21	289
2012-09-22	289
2012-09-23	289
2012-09-24	289
2012-09-25	290
2012-09-26	290
2012-09-27	290
2012-09-28	291
2012-09-29	291
2012-09-30	291
2012-10-01	291
2012-10-02	291
2012-10-03	291
2012-10-04	292
2012-10-05	292
2012-10-06	292
2012-10-07	292
2012-10-08	293
2012-10-09	295
2012-10-10	295
2012-10-11	295
2012-10-12	300
2012-10-13	300
2012-10-14	301
2012-10-15	301
2012-10-16	301
2012-10-17	301
2012-10-18	301
2012-10-19	301
2012-10-20	301
2012-10-21	301
2012-10-22	301
2012-10-23	301
2012-10-24	301
2012-10-25	301
2012-10-26	302
2012-10-27	302
2012-10-28	302
2012-10-29	302
2012-10-30	302
2012-10-31	302
2012-11-01	302
2012-11-02	302
2012-11-03	302
2012-11-04	302
2012-11-05	302
2012-11-06	303
2012-11-07	303
2012-11-08	303
2012-11-09	303
2012-11-10	303
2012-11-11	303
2012-11-12	303
2012-11-13	303
2012-11-14	303
2012-11-15	303
2012-11-16	303
2012-11-17	303
2012-11-18	303
2012-11-19	303
2012-11-20	303
2012-11-21	303
2012-11-22	303
2012-11-23	303
2012-11-24	303
2012-11-25	303
2012-11-26	303
2012-11-27	304
2012-11-28	304
2012-11-29	304
2012-11-30	304
2012-12-01	304
2012-12-02	304
2012-12-03	304
2012-12-04	306
2012-12-05	306
2012-12-06	306
2012-12-07	307
2012-12-08	307
2012-12-09	307
2012-12-10	307
2012-12-11	307
2012-12-12	307
2012-12-13	307
2012-12-14	307
2012-12-15	307
2012-12-16	307
2012-12-17	307
2012-12-18	307
2012-12-19	307
2012-12-20	307
2012-12-21	307
2012-12-22	307
2012-12-23	307
2012-12-24	307
2012-12-25	307
2012-12-26	307
2012-12-27	307
2012-12-28	307
2012-12-29	307
2012-12-30	307
2012-12-31	307
2013-01-01	307
2013-01-02	307
2013-01-03	311
2013-01-04	311
2013-01-05	311
2013-01-06	311
2013-01-07	311
2013-01-08	311
2013-01-09	312
2013-01-10	312
2013-01-11	312
2013-01-12	312
2013-01-13	312
2013-01-14	312
2013-01-15	312
2013-01-16	312
2013-01-17	312
2013-01-18	312
2013-01-19	312
2013-01-20	312
2013-01-21	312
2013-01-22	312
2013-01-23	312
2013-01-24	312
2013-01-25	312
2013-01-26	312
2013-01-27	312
2013-01-28	312
2013-01-29	312
2013-01-30	313
2013-01-31	314
2013-02-01	314
2013-02-02	314
2013-02-03	314
2013-02-04	314
2013-02-05	314
2013-02-06	314
2013-02-07	314
2013-02-08	314
2013-02-09	314
2013-02-10	314
2013-02-11	314
2013-02-12	314
2013-02-13	314
2013-02-14	314
2013-02-15	314
2013-02-16	314
2013-02-17	314
2013-02-18	314
2013-02-19	314
2013-02-20	314
2013-02-21	314
2013-02-22	315
2013-02-23	315
2013-02-24	315
2013-02-25	315
2013-02-26	319
2013-02-27	319
2013-02-28	320
2013-03-01	321
2013-03-02	322
2013-03-03	322
2013-03-04	322
2013-03-05	322
2013-03-06	322
2013-03-07	322
2013-03-08	322
2013-03-09	322
2013-03-10	322
2013-03-11	322
2013-03-12	323
2013-03-13	323
2013-03-14	323
2013-03-15	323
2013-03-16	323
2013-03-17	323
2013-03-18	324
2013-03-19	325
2013-03-20	325
2013-03-21	325
2013-03-22	325
2013-03-23	325
2013-03-24	325
2013-03-25	325
2013-03-26	325
2013-03-27	325
2013-03-28	325
2013-03-29	325
2013-03-30	325
2013-03-31	325
2013-04-01	325
2013-04-02	325
2013-04-03	325
2013-04-04	325
2013-04-05	325
2013-04-06	325
2013-04-07	325
2013-04-08	326
2013-04-09	326
2013-04-10	326
2013-04-11	326
2013-04-12	326
2013-04-13	327
2013-04-14	329
2013-04-15	330
2013-04-16	336
2013-04-17	337
2013-04-18	337
2013-04-19	337
2013-04-20	337
2013-04-21	337
2013-04-22	337
2013-04-23	337
2013-04-24	337
2013-04-25	338
2013-04-26	341
2013-04-27	341
2013-04-28	341
2013-04-29	341
2013-04-30	341
2013-05-01	341
2013-05-02	341
2013-05-03	341
2013-05-04	348
2013-05-05	348
2013-05-06	348
2013-05-07	348
2013-05-08	348
2013-05-09	348
2013-05-10	348
2013-05-11	348
2013-05-12	348
2013-05-13	348
2013-05-14	348
2013-05-15	348
2013-05-16	348
2013-05-17	348
2013-05-18	348
2013-05-19	348
2013-05-20	351
2013-05-21	350
2013-05-22	350
2013-05-23	351
2013-05-24	351
2013-05-25	352
2013-05-26	354
2013-05-27	354
2013-05-28	351
2013-05-29	351
2013-05-30	351
2013-05-31	351
2013-06-01	351
2013-06-02	351
2013-06-03	351
2013-06-04	353
2013-06-05	353
2013-06-06	353
2013-06-07	353
2013-06-08	353
2013-06-09	353
2013-06-10	353
2013-06-11	353
2013-06-12	353
2013-06-13	352
2013-06-14	352
2013-06-15	352
2013-06-16	352
2013-06-17	352
2013-06-18	352
2013-06-19	352
2013-06-20	353
2013-06-21	353
2013-06-22	355
2013-06-23	355
2013-06-24	355
2013-06-25	355
2013-06-26	355
2013-06-27	355
2013-06-28	355
2013-06-29	355
2013-06-30	355
2013-07-01	356
2013-07-02	358
2013-07-03	358
2013-07-04	358
2013-07-05	359
2013-07-06	359
2013-07-07	359
2013-07-08	359
2013-07-09	359
2013-07-10	359
2013-07-11	359
2013-07-12	359
2013-07-13	361
2013-07-14	361
2013-07-15	361
2013-07-16	361
2013-07-17	361
2013-07-18	361
2013-07-19	361
2013-07-20	361
2013-07-21	361
2013-07-22	361
2013-07-23	361
2013-07-24	361
2013-07-25	361
2013-07-26	361
2013-07-27	361
2013-07-28	361
2013-07-29	362
2013-07-30	362
2013-07-31	362
2013-08-01	362
2013-08-02	362
2013-08-03	362
2013-08-04	362
2013-08-05	362
2013-08-06	364
2013-08-07	364
2013-08-08	364
2013-08-09	364
2013-08-10	364
2013-08-11	364
2013-08-12	364
2013-08-13	364
2013-08-14	364
2013-08-15	364
2013-08-16	364
2013-08-17	364
2013-08-18	364
2013-08-19	364
2013-08-20	364
2013-08-21	364
2013-08-22	364
2013-08-23	364
2013-08-24	364
2013-08-25	364
2013-08-26	364
2013-08-27	364
2013-08-28	364
2013-08-29	364
2013-08-30	364
2013-08-31	364
2013-09-01	364
2013-09-02	364
2013-09-03	363
2013-09-04	363
2013-09-05	363
2013-09-06	363
2013-09-07	363
2013-09-08	363
2013-09-09	363
2013-09-10	363
2013-09-11	364
2013-09-12	364
2013-09-13	364
2013-09-14	364
2013-09-15	364
2013-09-16	364
2013-09-17	364
2013-09-18	364
2013-09-19	364
2013-09-20	364
2013-09-21	364
2013-09-22	364
2013-09-23	365
2013-09-24	365
2013-09-25	365
2013-09-26	365
2013-09-27	365
2013-09-28	365
2013-09-29	365
2013-09-30	366
2013-10-01	366
2013-10-02	367
2013-10-03	367
2013-10-04	367
2013-10-05	367
2013-10-06	367
2013-10-07	367
2013-10-08	369
2013-10-09	369
2013-10-10	369
2013-10-11	369
2013-10-12	369
2013-10-13	369
2013-10-14	369
2013-10-15	369
2013-10-16	370
2013-10-17	370
2013-10-18	370
2013-10-19	370
2013-10-20	370
2013-10-21	370
2013-10-22	370
2013-10-23	370
2013-10-24	370
2013-10-25	371
2013-10-26	371
2013-10-27	371
2013-10-28	371
2013-10-29	371
2013-10-30	371
2013-10-31	371
2013-11-01	371
2013-11-02	371
2013-11-03	371
2013-11-04	371
2013-11-05	371
2013-11-06	371
2013-11-07	371
2013-11-08	371
2013-11-09	371
2013-11-10	371
2013-11-11	371
2013-11-12	371
2013-11-13	371
2013-11-14	371
2013-11-15	372
2013-11-16	372
2013-11-17	374
2013-11-18	374
2013-11-19	375
2013-11-20	375
2013-11-21	375
2013-11-22	375
2013-11-23	375
2013-11-24	375
2013-11-25	375
2013-11-26	376
2013-11-27	377
2013-11-28	377
2013-11-29	378
2013-11-30	378
2013-12-01	378
2013-12-02	378
2013-12-03	379
2013-12-04	380
2013-12-05	381
2013-12-06	382
2013-12-07	382
2013-12-08	382
2013-12-09	383
2013-12-10	383
2013-12-11	383
2013-12-12	383
2013-12-13	383
2013-12-14	383
2013-12-15	383
2013-12-16	385
2013-12-17	385
2013-12-18	386
2013-12-19	388
2013-12-20	388
2013-12-21	388
2013-12-22	388
2013-12-23	388
2013-12-24	388
2013-12-25	388
2013-12-26	388
2013-12-27	388
2013-12-28	388
2013-12-29	388
2013-12-30	388
2013-12-31	388
2014-01-01	388
2014-01-02	389
2014-01-03	390
2014-01-04	390
2014-01-05	390
2014-01-06	390
2014-01-07	391
2014-01-08	391
2014-01-09	391
2014-01-10	391
2014-01-11	391
2014-01-12	391
2014-01-13	391
2014-01-14	391
2014-01-15	393
2014-01-16	393
2014-01-17	393
2014-01-18	393
2014-01-19	393
2014-01-20	393
2014-01-21	393
2014-01-22	393
2014-01-23	393
2014-01-24	393
2014-01-25	393
2014-01-26	393
2014-01-27	393
2014-01-28	393
2014-01-29	393
2014-01-30	393
2014-01-31	395
2014-02-01	396
2014-02-02	396
2014-02-03	396
2014-02-04	396
2014-02-05	396
2014-02-06	396
2014-02-07	396
2014-02-08	396
2014-02-09	396
2014-02-10	396
2014-02-11	396
2014-02-12	396
2014-02-13	396
2014-02-14	396
2014-02-15	396
2014-02-16	396
2014-02-17	398
2014-02-18	398
2014-02-19	400
2014-02-20	400
2014-02-21	400
2014-02-22	400
2014-02-23	400
2014-02-24	400
2014-02-25	401
2014-02-26	402
2014-02-27	402
2014-02-28	402
2014-03-01	402
2014-03-02	402
2014-03-03	410
2014-03-04	410
2014-03-05	410
2014-03-06	411
2014-03-07	411
2014-03-08	411
2014-03-09	411
2014-03-10	411
2014-03-11	411
2014-03-12	411
2014-03-13	411
2014-03-14	411
2014-03-15	411
2014-03-16	411
2014-03-17	411
2014-03-18	411
2014-03-19	411
2014-03-20	411
2014-03-21	412
2014-03-22	412
2014-03-23	412
2014-03-24	413
2014-03-25	413
2014-03-26	414
2014-03-27	414
2014-03-28	415
2014-03-29	415
2014-03-30	415
2014-03-31	415
2014-04-01	416
2014-04-02	416
2014-04-03	417
2014-04-04	417
2014-04-05	418
2014-04-06	418
2014-04-07	419
2014-04-08	419
2014-04-09	419
2014-04-10	419
2014-04-11	419
2014-04-12	419
2014-04-13	419
2014-04-14	419
2014-04-15	419
2014-04-16	420
2014-04-17	421
2014-04-18	421
2014-04-19	421
2014-04-20	421
2014-04-21	421
2014-04-22	421
2014-04-23	421
2014-04-24	421
2014-04-25	421
2014-04-26	421
2014-04-27	421
2014-04-28	422
2014-04-29	422
2014-04-30	422
2014-05-01	422
2014-05-02	422
2014-05-03	422
2014-05-04	422
2014-05-05	422
2014-05-06	422
2014-05-07	422
2014-05-08	422
2014-05-09	422
2014-05-10	422
2014-05-11	422
2014-05-12	423
2014-05-13	423
2014-05-14	423
2014-05-15	423
2014-05-16	424
2014-05-17	424
2014-05-18	424
2014-05-19	424
2014-05-20	425
2014-05-21	429
2014-05-22	429
2014-05-23	429
2014-05-24	429
2014-05-25	429
2014-05-26	430
2014-05-27	431
2014-05-28	431
2014-05-29	431
2014-05-30	431
2014-05-31	432
2014-06-01	432
2014-06-02	432
2014-06-03	432
2014-06-04	433
2014-06-05	433
2014-06-06	433
2014-06-07	433
2014-06-08	433
2014-06-09	433
2014-06-10	433
2014-06-11	433
2014-06-12	433
2014-06-13	434
2014-06-14	436
2014-06-15	436
2014-06-16	439
2014-06-17	441
2014-06-18	441
2014-06-19	441
2014-06-20	440
2014-06-21	440
2014-06-22	440
2014-06-23	441
2014-06-24	442
2014-06-25	442
2014-06-26	442
2014-06-27	443
2014-06-28	443
2014-06-29	443
2014-06-30	443
2014-07-01	444
2014-07-02	445
2014-07-03	445
2014-07-04	445
2014-07-05	445
2014-07-06	445
2014-07-07	445
2014-07-08	445
2014-07-09	446
2014-07-10	446
2014-07-11	446
2014-07-12	446
2014-07-13	446
2014-07-14	446
2014-07-15	446
2014-07-16	446
2014-07-17	446
2014-07-18	446
2014-07-19	446
2014-07-20	446
2014-07-21	446
2014-07-22	446
2014-07-23	446
2014-07-24	446
2014-07-25	446
2014-07-26	446
2014-07-27	446
2014-07-28	446
2014-07-29	447
2014-07-30	447
2014-07-31	452
2014-08-01	452
2014-08-02	452
2014-08-03	452
2014-08-04	452
2014-08-05	452
